"filename", "language", "JSON with Comments", "TypeScript", "JSON", "MS SQL", "Markdown", "YAML", "JavaScript", "comment", "blank", "total"
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\auth\dto\verify-email-code.dto.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 1, 3, 21
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\auth\guards\jwt-auth.guard.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\auth\guards\role-ids.guard.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 6, 7, 30
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\auth\guards\roles.guard.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 2, 5, 24
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\auth\strategies\jwt.strategy.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 5, 4, 46
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\clients\clientes.controller.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 2, 7, 60
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\clients\clientes.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\clients\clientes.service.ts", "TypeScript", 0, 127, 0, 0, 0, 0, 0, 1, 14, 142
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\clients\dto\create-cliente.dto.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\clients\dto\update-cliente.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\constantes\constantes.controller.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 12, 86
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\constantes\constantes.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\constantes\constantes.service.ts", "TypeScript", 0, 104, 0, 0, 0, 0, 0, 0, 27, 131
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\constantes\dto\create-constante.dto.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\constantes\dto\update-constante.dto.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\contactos\contactos.controller.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 2, 7, 62
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\contactos\contactos.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\contactos\contactos.service.ts", "TypeScript", 0, 140, 0, 0, 0, 0, 0, 10, 14, 164
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\contactos\dto\create-contacto.dto.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 1, 5, 24
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\contactos\dto\update-contacto.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\builder\bloques.ts", "TypeScript", 0, 685, 0, 0, 0, 0, 0, 82, 76, 843
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\builder\casa-por-casa.builder.ts", "TypeScript", 0, 202, 0, 0, 0, 0, 0, 39, 30, 271
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\builder\centro-comercial.builder.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\builder\mystery-shopper.builder.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\builder\online.builder.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\builder\punto-de-alfuencia.builder.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\builder\telefonico.builder.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\cotizaciones\constants\metodologia.enum.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 2, 2, 12
